epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,33,,,1.0724092721939087
0,0.0009999999310821295,33,0.9189334511756897,,
1,,49,,0.7727559208869934,
1,,67,,,0.8474855422973633
1,0.0009999999310821295,67,0.8881375789642334,,
2,,99,,1.054302453994751,
2,,101,,,0.8532241582870483
2,0.0009999999310821295,101,0.8579031229019165,,
3,,135,,,0.8038875460624695
3,0.0009999999310821295,135,0.8478540182113647,,
4,,149,,0.8178426623344421,
4,,169,,,0.8363340497016907
4,0.0009999999310821295,169,0.8553407788276672,,
5,,199,,0.842599093914032,
5,,203,,,0.8732138276100159
5,0.0009999999310821295,203,0.8652535080909729,,
6,,237,,,0.8153199553489685
6,0.0009999999310821295,237,0.8576610684394836,,
7,,249,,0.7311400771141052,
7,,271,,,0.8128190636634827
7,0.0009999999310821295,271,0.8602385520935059,,
8,,299,,0.7880668044090271,
8,,305,,,0.7977813482284546
8,0.0009999999310821295,305,0.8259837627410889,,
9,,339,,,0.8109185099601746
9,0.0009999999310821295,339,0.8570021986961365,,
10,,349,,0.8560035824775696,
10,,373,,,0.8393258452415466
10,0.0009999999310821295,373,0.8549465537071228,,
11,,399,,0.8570393919944763,
11,,407,,,0.7997409105300903
11,0.0009999999310821295,407,0.8528441190719604,,
12,,441,,,0.8277924656867981
12,0.0009999999310821295,441,0.8363247513771057,,
13,,449,,0.7573238611221313,
13,,475,,,0.8887553811073303
13,0.0009999999310821295,475,0.833202600479126,,
14,,499,,0.7847790718078613,
14,,509,,,0.9126575589179993
14,0.0009999999310821295,509,0.8534806370735168,,
15,,543,,,0.7971487641334534
15,0.0009999999310821295,543,0.83293616771698,,
16,,549,,0.8967456817626953,
16,,577,,,0.8314574360847473
16,0.0009999999310821295,577,0.8452003002166748,,
17,,599,,0.9616858959197998,
17,,611,,,0.8125474452972412
17,0.0009999999310821295,611,0.8513892889022827,,
18,,645,,,0.8066542148590088
18,0.0009999999310821295,645,0.8248580098152161,,
19,,649,,0.7978823781013489,
19,,679,,,0.8110987544059753
19,0.0009999999310821295,679,0.8229588270187378,,
20,,699,,0.8223255276679993,
20,,713,,,0.8670186400413513
20,0.0009999999310821295,713,0.823682427406311,,
21,,747,,,0.94145268201828
21,0.0009999999310821295,747,0.918412446975708,,
22,,749,,0.7777553200721741,
22,,781,,,0.8370077610015869
22,0.0009999999310821295,781,0.8436709046363831,,
23,,799,,0.8349171876907349,
23,,815,,,0.8045743107795715
23,0.0009999999310821295,815,0.8397094011306763,,
24,,849,,0.843495786190033,
24,,849,,,0.8007124066352844
24,0.0009999999310821295,849,0.8126121759414673,,
25,,883,,,0.8117482662200928
25,0.0009999999310821295,883,0.8525794744491577,,
26,,899,,0.8955366015434265,
26,,917,,,0.8358602523803711
26,0.0009999999310821295,917,0.8172008991241455,,
27,,949,,0.8040573596954346,
27,,951,,,0.8033130764961243
27,0.00010000000474974513,951,0.8112321496009827,,
28,,985,,,0.7935630679130554
28,0.00010000000474974513,985,0.8235224485397339,,
29,,999,,0.793686032295227,
29,,1019,,,0.79526686668396
29,0.00010000000474974513,1019,0.8414789438247681,,
